moment,duration,age,race,gender,reflection
Have a confirmed news grandkids ( born in Australia) will come to Singapore for the next five years.  Happy they will keep me company in my old age.,I'm still feeling it,65+ years old,Chinese,Male,24 h
son bring snacks early yesterday unexpectedly.,A few minutes,55-64 years old,Chinese,Male,24 h
birth of child,I'm still feeling it,25-34 years old,Indian,Male,24 h
"First moment: It was my Dads demise eight days, we host family and friends where everyone was giving a chance to talk about the late, it turns out to be so many good memories.",All day,35-44 years old,Malay,Male,24 h
I have my breakfast,At least one hour,35-44 years old,Chinese,Male,24 h
"spending most of the available time within 24hrs with my wife, tend to her, help her, send her to work, text each other and seeing her again after work",All day,25-34 years old,Chinese,Male,24 h
Im debt free,A few minutes,55-64 years old,Chinese,Female,24 h
Some investments I made started to show some returns,At least one hour,55-64 years old,Other:,Male,24 h
My son and daughter in law got promoted in their respective jobs..,I'm still feeling it,65+ years old,Indian,Male,24 h
Singapore controlled covid19 situation ,All day,65+ years old,Chinese,Male,24 h
One happy moment in the past 24 hours was when my family and I sat down together to eat dinner together. i think that is the most important part of maintaining family harmony.,All day,18-24 years old,Chinese,Female,24 h
Very Happy because God blessed my family with Good health ,At least one hour,35-44 years old,Chinese,Male,24 h
We will welcome our twin granddaughters to Singapore when it is safe to travel.  Born overseas they have been planning to relocate to Singapore since end of last year.,I'm still feeling it,65+ years old,Chinese,Female,24 h
I hung out for dinner with my buddy,Half a day,35-44 years old,Chinese,Male,24 h
Completed my jog in the morning. ,At least one hour,55-64 years old,Chinese,Male,24 h
One happy moment in the past 24 hours was when I was eating lunch with my mother.,A few minutes,18-24 years old,Chinese,Female,24 h
"Spent time with my kids
",At least one hour,35-44 years old,Chinese,Male,24 h
when i tasted the new burger at mcdonalds,At least one hour,35-44 years old,Malay,Male,24 h
The time we travel on a cruise ship,At least one hour,55-64 years old,Chinese,Male,24 h
My parents aniversary .,All day,25-34 years old,Chinese,Male,24 h
I brought up an idea in my work place and it worked perfectly. ,All day,35-44 years old,Chinese,Male,24 h
One happy moment in the past 24 hours was when I eat my fav icecream ,At least one hour,25-34 years old,Chinese,Male,24 h
i have a nice bowl of curry this noon to treat myself.,At least one hour,35-44 years old,Chinese,Male,24 h
I was Sleeping,A few minutes,35-44 years old,Chinese,Female,24 h
Happy that we r to work from home for a month ,A few minutes,35-44 years old,Chinese,Male,24 h
"One happy moment in the past 24 hours was when I saw an elderly woman crossing the road, i helped her across the road and she thanked me for it.",A few minutes,35-44 years old,Chinese,Male,24 h
One happy moment in the past 24 hours was when I have just completed a clinical study and my diet restrictions have been lifted.,A few minutes,35-44 years old,Chinese,Male,24 h
Having myself vaccinated,I'm still feeling it,55-64 years old,Chinese,Female,24 h
When my daughter got into college,A few minutes,35-44 years old,Malay,Female,24 h
Actually recently am very happy because I have a very joyful moment with my family and friends.,I'm still feeling it,35-44 years old,Chinese,Male,24 h
Yesterday I managed to purchase a bunch of bananas which is of good quality. It has not been made available for the past few weeks. ,A few minutes,55-64 years old,Chinese,Female,24 h
my friend called me and we had a heart-to-heart talk,At least one hour,25-34 years old,Chinese,Female,24 h
"Happy a moment of fun with my dog, whom tend to understand me better",A few minutes,35-44 years old,Chinese,Male,24 h
"I talked to my friend. At first, because of COVID and so I think I rarely saw any friend since the pandemic started. I believe I only met less than 10 friends from last year March till now. I am glad I talked to her via whatsapp because it made me feel that I have friends and someone to rely on, in times of sadness or need.",I'm still feeling it,18-24 years old,Chinese,Female,24 h
None I can think of,Other:,35-44 years old,Chinese,Male,24 h
My friend gifted me takeaway package of Chinese dessert from the hawker centre nearby to encourage me after a hard day of work,At least one hour,55-64 years old,Chinese,Female,24 h
Happy moment was 2 days ago on Mother's Day,All day,35-44 years old,Chinese,Female,24 h
"I was very happy yesterday evening when I checked my savings account and I saw how much I have saved so far. 
Which I believe Will go a long way should anything happens.",I'm still feeling it,25-34 years old,Chinese,Male,24 h
"My niece became a 1st-time mother.  The whole family was sparkled with great love and happiness - continued till today.  Happy is to see the whole family has so much love for each other, despite our shortcomings!",I'm still feeling it,65+ years old,Chinese,Female,24 h
My wife bought chocolate ice cream as surprise for our kids ,At least one hour,35-44 years old,Malay,Male,24 h
I have a nice girl friend ,All day,25-34 years old,Chinese,Male,24 h
I received a call that my cousin gave birth to a bouncing baby boy.,I'm still feeling it,25-34 years old,Malay,Male,24 h
When I talk to God and pray for others. ,I'm still feeling it,55-64 years old,Chinese,Female,24 h
One happy moment in the past 24 hours was when my friend texted me to share their artwork,A few minutes,25-34 years old,Chinese,Female,24 h
At workplace having team work n completed job with satisfaction ,All day,55-64 years old,Chinese,Female,24 h
I managed to get sufficient sleep,A few minutes,55-64 years old,Chinese,Male,24 h
"One of the happy moment in the past 24 hours was when I managed to get an item I've wanted, I was filled with joy and happiness since it was very hard to obtain it",Half a day,18-24 years old,Chinese,Male,24 h
Good work with the same time ,Half a day,25-34 years old,Chinese,Female,24 h
Only donthinga thatbi feel like doing,Half a day,35-44 years old,Chinese,Female,24 h
I help someone,Half a day,35-44 years old,Chinese,Male,24 h
Very good time,A few minutes,35-44 years old,Malay,Male,24 h
One happy moment is the past 24 hours was when I got to spend time with my friends online.,At least one hour,18-24 years old,Other:,Male,24 h
When my child walk for the first time,All day,35-44 years old,Malay,Male,24 h
My husband make me laugh last night,A few minutes,35-44 years old,Chinese,Female,24 h
One happy moment in the past 24 hours was nothing,A few minutes,25-34 years old,Chinese,Female,24 h
It was when I had my favorite meal.It had been a minute since i last indulged in that meal.,A few minutes,35-44 years old,Chinese,Female,24 h
"For the past 24 hours, the first happy moment was when work ended and I could go home.
Second moment when I get to have my “me” time",At least one hour,18-24 years old,Chinese,Female,24 h
Make a good investment decision and was rewarded,At least one hour,25-34 years old,Chinese,Male,24 h
"The boy I was tutoring scored full marks on his spelling test.
",A few minutes,18-24 years old,Chinese,Female,24 h
When I saw some good news about Singapore ,I'm still feeling it,25-34 years old,Malay,Male,24 h
when I achieved sleeping for 8 long hours.,Half a day,35-44 years old,Malay,Male,24 h
Cleaning my room. Getting my life organised.,I'm still feeling it,18-24 years old,Chinese,Female,24 h
My son took my hands and placed them on his cheeks. ,A few minutes,25-34 years old,Other:,Female,24 h
To see my children laughing and enjoying their moments in life.,A few minutes,35-44 years old,Chinese,Female,24 h
One happy moment in the past 24 hrs is my account are 100% accurate after an audit.,At least one hour,65+ years old,Chinese,Female,24 h
I am most happy when I am accepted for my current job.,I'm still feeling it,35-44 years old,Chinese,Male,24 h
When I caught the bus on time,A few minutes,18-24 years old,Chinese,Male,24 h
having dinner with my family,A few minutes,25-34 years old,Chinese,Male,24 h
I got my salary,All day,35-44 years old,Malay,Male,24 h
One happy moment in the past 24 hours was when having dinner with my family,A few minutes,25-34 years old,Chinese,Male,24 h
One happy moment in the past 24 hours was when I come home and see my child,A few minutes,25-34 years old,Chinese,Male,24 h
When I got promotion from my employer,All day,35-44 years old,Indian,Male,24 h
When I receive my monthly salary ,Half a day,35-44 years old,Chinese,Male,24 h
one of my favourite kpop artists started a Vlive,A few minutes,25-34 years old,Chinese,Female,24 h
One happy moment in the past 24 hours was when I was watching a Korean drama that was very funny and made me laugh,At least one hour,25-34 years old,Chinese,Female,24 h
My friend cooking business started moving.,Half a day,65+ years old,Chinese,Female,24 h
I met my old friends who kept away because of covid,At least one hour,25-34 years old,Malay,Female,24 h
Watching tv,At least one hour,25-34 years old,Chinese,Female,24 h
"One happy moment in the past 24 hours was when I had a fantastic meal with my family,",At least one hour,25-34 years old,Chinese,Male,24 h
I was watching variety shows? Watching the people on screen (whom I admire) enjoying themselves brings a smile on my face!,At least one hour,18-24 years old,Chinese,Female,24 h
I did a task that my senior assigned correctly.,At least one hour,18-24 years old,Chinese,Female,24 h
I was sleeping comfortable on my bed.,Half a day,35-44 years old,Chinese,Male,24 h
I was able to sleep in and laze in my bed. ,A few minutes,25-34 years old,Chinese,Male,24 h
i had one of the best curry rice that i have eaten for a while.,At least one hour,35-44 years old,Chinese,Male,24 h
One happy moment in the past 24 hours was when I come home from work,A few minutes,25-34 years old,Chinese,Male,24 h
Finding enough clothes for job,I'm still feeling it,35-44 years old,Chinese,Female,24 h
Someone had updated a new chapter of one of the online fiction stories that I have been following. ,A few minutes,25-34 years old,Chinese,Female,24 h
I felt happy in the past 24 hours when I know that Public Holiday is coming. ,At least one hour,25-34 years old,Chinese,Female,24 h
I was complimented at the company,A few minutes,25-34 years old,Chinese,Male,24 h
